confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.8,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.6,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.05,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.3,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.65,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.5,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.92,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.7,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.92,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.55,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.98,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.92,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.92,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.0,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.1,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.55,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.4,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.05,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.45,Astro-QA_Judgement,1.0,1.0,1.0
0.7,Astro-QA_Judgement,1.0,1.0,1.0
0.97,Astro-QA_Judgement,1.0,1.0,1.0
0.55,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.55,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.55,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.05,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.98,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.01,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.01,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.42,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.98,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.98,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.7,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.98,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.05,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.05,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.75,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.1,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.4,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.55,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.2,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.55,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.05,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.6,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.45,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.05,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.4,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.15,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.29624322056770325
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.98,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.6,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.12,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.15,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.92,Astro-QA_Judgement,1.0,1.0,1.0
0.05,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.3,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.85,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.55,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.012,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.97,Astro-QA_Judgement,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.85,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
