confidence,source,em,f1,bert
0.92,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.1,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.9,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,Astro-QA_Judgement,0.0,0.0,0.7932289838790894
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.99,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.99,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.99,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.0,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.2,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7932289838790894
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.97,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.87,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.99,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
1.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.0,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.97,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.99,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.98,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.0,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.9,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.7932289838790894
0.02,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.999,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.999,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
1.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.0,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.1,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.99,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
