Model,Version,average mse f1,average mse bert
llama-3.1-8b-instant,baseline,0.45611060305612455,0.09427283885485375
llama-3.1-8b-instant,baseline_multi,0.4328385976017789,0.09759417476979734
llama-3.1-8b-instant,cot_answer,0.44439648713626045,0.09690286781779985
llama-3.1-8b-instant,cot_answer_multi,0.3492275414129564,0.08311337134529431
llama-3.1-8b-instant,cot_confidence,0.37875300549051266,0.08376830550212978
llama-3.1-8b-instant,cot_confidence_multi,0.3786115257337943,0.09831829532272154
llama-3.1-8b-instant,cot_answer_confidence,0.4049412160497742,0.11126774720185666
llama-3.1-8b-instant,cot_answer_confidence_multi,0.3477588084422078,0.09706798199357619
llama-3.1-8b-instant,scientific,0.45071754767474154,0.10442420256090908
gemma-3-4b-it,baseline,0.5120277595300808,0.08467886895380881
gemma-3-4b-it,baseline_multi,0.5376292894012609,0.07680817453405055
gemma-3-4b-it,cot_answer,0.6250198677625954,0.11449020828639037
gemma-3-4b-it,cot_answer_multi,0.517834332748049,0.09693843915031031
gemma-3-4b-it,cot_confidence,0.5590353581990372,0.15071224077439793
gemma-3-4b-it,cot_confidence_multi,0.5442977036267436,0.12374892526333409
gemma-3-4b-it,cot_answer_confidence,0.6784843447099663,0.21703729932972415
gemma-3-4b-it,cot_answer_confidence_multi,0.5167535594029665,0.10989055435811516
gemma-3-4b-it,scientific,0.5644631498414374,0.08239389191962085
gemma-3-27b-it,baseline,0.4745647958127125,0.07812182268405103
gemma-3-27b-it,baseline_multi,0.41496446913777074,0.06783072798076303
gemma-3-27b-it,cot_answer,0.4537318988531884,0.07432784271670835
gemma-3-27b-it,cot_answer_multi,0.3203925632323717,0.04086227074159076
gemma-3-27b-it,cot_confidence,0.4969822666363586,0.07575517262351457
gemma-3-27b-it,cot_confidence_multi,0.37859413610917136,0.0496992665685692
gemma-3-27b-it,cot_answer_confidence,0.4818294756858168,0.08804332607643267
gemma-3-27b-it,cot_answer_confidence_multi,0.2891545783493266,0.0421675283415596
gemma-3-27b-it,scientific,0.47580290347360976,0.06897361243782536
