confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.75,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.1,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.75,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.75,Astro-QA_Judgement,1.0,1.0,1.0
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.7,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.75,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.75,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.1,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.75,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
